size,array_type,algorithm,repeats,time_ms
10200,random,quick,3,1.39907
10200,random,introsort,3,1.03973
10200,reversed,quick,3,0.7052
10200,reversed,introsort,3,0.3309
10200,almost_sorted,quick,3,0.689367
10200,almost_sorted,introsort,3,0.4696
10300,random,quick,3,1.42937
10300,random,introsort,3,1.03263
10300,reversed,quick,3,0.669133
10300,reversed,introsort,3,0.377667
10300,almost_sorted,quick,3,0.689233
10300,almost_sorted,introsort,3,0.383867
10400,random,quick,3,1.5427
10400,random,introsort,3,1.0792
10400,reversed,quick,3,0.675067
10400,reversed,introsort,3,0.3529
10400,almost_sorted,quick,3,0.6632
10400,almost_sorted,introsort,3,0.385733
10500,random,quick,3,1.50803
10500,random,introsort,3,1.03563
10500,reversed,quick,3,0.685133
10500,reversed,introsort,3,0.3555
10500,almost_sorted,quick,3,0.711267
10500,almost_sorted,introsort,3,0.353033
10600,random,quick,3,1.46187
10600,random,introsort,3,1.10123
10600,reversed,quick,3,0.6967
10600,reversed,introsort,3,0.3686
10600,almost_sorted,quick,3,0.698633
10600,almost_sorted,introsort,3,0.351967
10700,random,quick,3,1.48967
10700,random,introsort,3,1.20167
10700,reversed,quick,3,0.696733
10700,reversed,introsort,3,0.3781
10700,almost_sorted,quick,3,0.7189
10700,almost_sorted,introsort,3,0.3553
10800,random,quick,3,1.55533
10800,random,introsort,3,1.21453
10800,reversed,quick,3,1.63687
10800,reversed,introsort,3,0.706033
10800,almost_sorted,quick,3,0.915167
10800,almost_sorted,introsort,3,0.3735
10900,random,quick,3,1.6012
10900,random,introsort,3,1.14207
10900,reversed,quick,3,0.9941
10900,reversed,introsort,3,0.409533
10900,almost_sorted,quick,3,0.745833
10900,almost_sorted,introsort,3,0.370667
11000,random,quick,3,1.96637
11000,random,introsort,3,1.9023
11000,reversed,quick,3,1.1527
11000,reversed,introsort,3,0.573033
11000,almost_sorted,quick,3,0.949467
11000,almost_sorted,introsort,3,0.3916
11100,random,quick,3,1.9037
11100,random,introsort,3,1.70863
11100,reversed,quick,3,1.32917
11100,reversed,introsort,3,0.7426
11100,almost_sorted,quick,3,1.32317
11100,almost_sorted,introsort,3,0.6558
11200,random,quick,3,2.0344
11200,random,introsort,3,1.15317
11200,reversed,quick,3,0.7305
11200,reversed,introsort,3,0.467133
11200,almost_sorted,quick,3,0.9223
11200,almost_sorted,introsort,3,0.3819
11300,random,quick,3,1.82387
11300,random,introsort,3,1.21987
11300,reversed,quick,3,0.977233
11300,reversed,introsort,3,0.518533
11300,almost_sorted,quick,3,0.973033
11300,almost_sorted,introsort,3,0.414867
11400,random,quick,3,1.62873
11400,random,introsort,3,1.19187
11400,reversed,quick,3,0.744733
11400,reversed,introsort,3,0.372733
11400,almost_sorted,quick,3,0.7542
11400,almost_sorted,introsort,3,0.437833
11500,random,quick,3,2.30423
11500,random,introsort,3,1.541
11500,reversed,quick,3,0.823333
11500,reversed,introsort,3,0.4653
11500,almost_sorted,quick,3,1.41273
11500,almost_sorted,introsort,3,0.397767
11600,random,quick,3,2.39607
11600,random,introsort,3,1.6486
11600,reversed,quick,3,0.761433
11600,reversed,introsort,3,0.404133
11600,almost_sorted,quick,3,0.9351
11600,almost_sorted,introsort,3,0.402333
11700,random,quick,3,2.023
11700,random,introsort,3,1.2683
11700,reversed,quick,3,0.8009
11700,reversed,introsort,3,0.402433
11700,almost_sorted,quick,3,0.781933
11700,almost_sorted,introsort,3,0.416833
11800,random,quick,3,1.78817
11800,random,introsort,3,1.23767
11800,reversed,quick,3,0.927
11800,reversed,introsort,3,0.404767
11800,almost_sorted,quick,3,0.965067
11800,almost_sorted,introsort,3,0.726233
11900,random,quick,3,2.26713
11900,random,introsort,3,1.28513
11900,reversed,quick,3,0.958067
11900,reversed,introsort,3,0.531733
11900,almost_sorted,quick,3,0.8492
11900,almost_sorted,introsort,3,0.425533
12000,random,quick,3,1.6716
12000,random,introsort,3,1.3003
12000,reversed,quick,3,0.8035
12000,reversed,introsort,3,0.485567
12000,almost_sorted,quick,3,0.803467
12000,almost_sorted,introsort,3,0.415
12100,random,quick,3,1.64437
12100,random,introsort,3,1.4019
12100,reversed,quick,3,1.02207
12100,reversed,introsort,3,0.533467
12100,almost_sorted,quick,3,1.03427
12100,almost_sorted,introsort,3,0.4594
12200,random,quick,3,1.92123
12200,random,introsort,3,1.538
12200,reversed,quick,3,0.938233
12200,reversed,introsort,3,0.472367
12200,almost_sorted,quick,3,0.883933
12200,almost_sorted,introsort,3,0.4709
12300,random,quick,3,1.88107
12300,random,introsort,3,1.73047
12300,reversed,quick,3,1.30193
12300,reversed,introsort,3,0.5954
12300,almost_sorted,quick,3,1.12977
12300,almost_sorted,introsort,3,0.425867
12400,random,quick,3,1.69377
12400,random,introsort,3,1.33923
12400,reversed,quick,3,0.816333
12400,reversed,introsort,3,0.4514
12400,almost_sorted,quick,3,0.8592
12400,almost_sorted,introsort,3,0.455933
12500,random,quick,3,2.23607
12500,random,introsort,3,1.94217
12500,reversed,quick,3,0.8319
12500,reversed,introsort,3,0.468133
12500,almost_sorted,quick,3,0.858267
12500,almost_sorted,introsort,3,0.432267
12600,random,quick,3,1.7048
12600,random,introsort,3,1.5441
12600,reversed,quick,3,1.2645
12600,reversed,introsort,3,0.654833
12600,almost_sorted,quick,3,1.25527
12600,almost_sorted,introsort,3,0.628133
12700,random,quick,3,1.9459
12700,random,introsort,3,1.53807
12700,reversed,quick,3,0.897967
12700,reversed,introsort,3,0.443
12700,almost_sorted,quick,3,0.970867
12700,almost_sorted,introsort,3,0.496333
12800,random,quick,3,1.79393
12800,random,introsort,3,1.30633
12800,reversed,quick,3,1.2214
12800,reversed,introsort,3,0.605433
12800,almost_sorted,quick,3,0.8762
12800,almost_sorted,introsort,3,0.4492
12900,random,quick,3,1.83193
12900,random,introsort,3,1.38463
12900,reversed,quick,3,0.945567
12900,reversed,introsort,3,0.452033
12900,almost_sorted,quick,3,0.865667
12900,almost_sorted,introsort,3,0.450667
13000,random,quick,3,1.83883
13000,random,introsort,3,1.58117
13000,reversed,quick,3,0.894133
13000,reversed,introsort,3,0.4425
13000,almost_sorted,quick,3,1.16303
13000,almost_sorted,introsort,3,0.610833
13100,random,quick,3,2.00503
13100,random,introsort,3,1.69107
13100,reversed,quick,3,0.9808
13100,reversed,introsort,3,0.5075
13100,almost_sorted,quick,3,0.915567
13100,almost_sorted,introsort,3,0.551833
13200,random,quick,3,1.907
13200,random,introsort,3,1.53323
13200,reversed,quick,3,0.895533
13200,reversed,introsort,3,0.460933
13200,almost_sorted,quick,3,0.984967
13200,almost_sorted,introsort,3,0.479067
13300,random,quick,3,2.07473
13300,random,introsort,3,2.75733
13300,reversed,quick,3,1.5923
13300,reversed,introsort,3,0.8216
13300,almost_sorted,quick,3,1.54017
13300,almost_sorted,introsort,3,0.7635
13400,random,quick,3,2.23413
13400,random,introsort,3,1.74603
13400,reversed,quick,3,1.00277
13400,reversed,introsort,3,0.630933
13400,almost_sorted,quick,3,1.01043
